-=== SIMULATION SUMMARY ===-
Game Name;test1
Spins;100000000
Total Bet;20000000000.0000
Total Win;19338923200.0000
RTP %;96.694616
Hit Rate %;18.176388
Hit Frequency;1 : 5.5016
Max Win;440000.0000
Max Win X;2200.0000

-=== REEL STRIP WEIGHTS & DISTRIBUTION ===-
Symbol;Reel 1 Count;Reel 1 % (Len: 91);Reel 2 Count;Reel 2 % (Len: 59);Reel 3 Count;Reel 3 % (Len: 95);Reel 4 Count;Reel 4 % (Len: 58);Reel 5 Count;Reel 5 % (Len: 46);Total Count;Avg %
7;6;6.5934 %;4;6.7797 %;6;6.3158 %;5;8.6207 %;6;13.0435 %;27;7.7364 %
C;23;25.2747 %;8;13.5593 %;28;29.4737 %;16;27.5862 %;11;23.9130 %;86;24.6418 %
L;12;13.1868 %;7;11.8644 %;2;2.1053 %;5;8.6207 %;2;4.3478 %;28;8.0229 %
O;9;9.8901 %;12;20.3390 %;7;7.3684 %;4;6.8966 %;13;28.2609 %;45;12.8940 %
S;9;9.8901 %;10;16.9492 %;18;18.9474 %;9;15.5172 %;2;4.3478 %;48;13.7536 %
SCATTER;3;3.2967 %;3;5.0847 %;4;4.2105 %;2;3.4483 %;2;4.3478 %;14;4.0115 %
V;8;8.7912 %;8;13.5593 %;21;22.1053 %;7;12.0690 %;4;8.6957 %;48;13.7536 %
W;21;23.0769 %;7;11.8644 %;9;9.4737 %;10;17.2414 %;6;13.0435 %;53;15.1862 %
TOTAL LENGTH;91;100.0000 %;59;100.0000 %;95;100.0000 %;58;100.0000 %;46;100.0000 %;349;100.0000 %

-=== REEL STRIP ORDER (SEQUENCE) ===-
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
10-20x;3222050;3.222050
20-50x;896209;0.896209
50-100x;81292;0.081292
100-500x;54773;0.054773
500-1000x;51;0.000051
1000x+;1632;0.001632

-=== WILD STATISTICS ===-
Wild Landed;0
Spins with Wild;0
Wild Spin Frequency;-
Expanded Cells;0
Boom Cells;0
Winning Lines with Wild;0
Win Amount with Wild;0.0000
Wild RTP Contribution %;0.000000
